iso3_country_code,Date,"Australia (Eastern States), Wheat (ASW), USD/Kg","Australia (Eastern States), Barley (feed), USD/Kg","Argentina, Maize (Up River), USD/Kg","Canada (St Lawrence), Wheat (CWRS, 13.5%), USD/Kg","European Union, Bananas, USD/Kg","India, Rice (25% broken), USD/Kg","Philippines, Coconut oil, USD/Kg","United States of America, Soybean , USD/Kg","United States of America (Gulf), Sorghum, USD/Kg","EU, Amsterdam, Sunflowerseed, USD/Kg"
,01/01/2017,0.1722,0.1568,0.1834,0.2258,0.83396,0.33775,1.815,0.425,0.16782,0.416
,12/01/2016,0.17825,0.149,0.181,0.21925,0.83229,0.329,1.699,0.42,0.16568,0.42
,11/01/2016,0.1906,0.158,0.1776,0.2096,0.85847,0.325,1.538,0.412,0.16445,0.423
,10/01/2016,0.189,0.15475,0.17425,0.2155,0.89724,0.328,1.463,0.403,0.17443,0.413
,09/01/2016,0.18775,0.13733,0.1705,0.20275,0.9087,0.326,1.547,0.405,0.173,0.406
,08/01/2016,0.1938,0.14875,0.1772,0.2032,0.90134,0.337,1.529,0.413,0.17426,0.404
,07/01/2016,0.208,0.16775,0.179,0.2095,0.92841,0.362,1.507,0.432,0.17362,0.403
,06/01/2016,0.222,0.1835,0.1965,0.22575,0.94227,0.361,1.563,0.457,0.19595,0.429
,05/01/2016,0.2154,0.1758,0.1868,0.2266,0.9289,0.346,1.445,0.422,0.18395,0.428
,04/01/2016,0.2175,0.1695,0.1705,0.2315,0.93966,0.327,1.586,0.393,0.17362,0.427
,03/01/2016,0.2126,0.1714,0.163,0.2248,0.93922,0.3225,1.448,0.375,0.17596,0.436
,02/01/2016,0.20625,0.1705,0.167,0.22525,0.93099,0.3163,1.216,0.369,0.17462,0.464
,01/01/2016,0.20475,0.1755,0.161,0.2295,0.85581,0.3214,1.155,0.367,0.1729,0.465
,12/01/2015,0.209,0.1822,0.1662,0.2344,0.85976,0.326,1.147,0.372,0.17926,0.473
,11/01/2015,0.214,0.185,0.16675,0.2295,0.8475,0.3103,1.073,0.368,0.18895,0.478
,10/01/2015,0.21525,0.19425,0.16375,0.23525,0.92603,0.312,1.108,0.376,0.19805,0.464
,09/01/2015,0.1998,0.1852,0.1612,0.2312,0.90683,0.3248,1.063,0.368,0.19777,0.431
,08/01/2015,0.22925,0.2075,0.1595,0.223,0.90199,0.3388,1.037,0.381,0.20986,0.43
,07/01/2015,0.24175,0.22725,0.17625,0.2495,0.88799,0.351,1.1,0.405,0.25061,0.432
,06/01/2015,0.2454,0.231,0.1732,0.2512,0.89999,0.344,1.131,0.397,0.25173,0.42
,05/01/2015,0.236,0.244,0.16825,0.2375,0.94075,0.3468,1.133,0.385,0.25729,0.406
,04/01/2015,0.237,0.2445,0.1675,0.2485,0.9149,0.348,1.08,0.396,0.2695,0.426
,03/01/2015,0.2346,0.2404,0.1686,0.2628,0.92852,0.348,1.091,0.402,0.26073,0.433
,02/01/2015,0.2425,0.23975,0.17825,0.283,0.93814,0.35,1.187,0.407,0.2572,0.438
,01/01/2015,0.26175,0.25125,0.18425,0.30175,0.88836,0.349,1.155,0.421,0.25591,0.438
,12/01/2014,0.266,0.2566,0.1974,0.3272,0.94886,0.35,1.217,0.446,0.259,0.464
,11/01/2014,0.268,0.25775,0.17705,0.30125,0.99775,0.362,1.194,0.447,0.24755,0.443
,10/01/2014,0.26425,0.251,0.17075,0.29775,1.00879,0.371,1.15,0.43,0.23952,0.419
,09/01/2014,0.257,0.2308,0.1656,0.295,0.96691,0.384,1.181,0.433,0.21777,0.403
,08/01/2014,0.25825,0.223,0.18075,0.29575,0.98894,0.385,1.172,0.457,0.22186,0.401
,07/01/2014,0.2594,0.248,0.1918,0.2992,1.02261,0.385,1.26,0.48,0.22317,0.425
,06/01/2014,0.2755,0.25075,0.204,0.316,1.07118,0.385,1.402,0.514,0.24238,0.449
,05/01/2014,0.29125,0.25675,0.224,,1.12031,0.384,1.411,0.522,0.25318,0.468
,04/01/2014,0.2872,0.2556,0.2288,,1.22595,0.381,1.356,0.516,0.26641,0.515
,03/01/2014,0.28125,0.2535,0.2255,,1.12136,0.381,1.394,0.501,0.25729,0.524
,02/01/2014,0.26025,0.23775,0.21825,,1.04564,0.378,1.365,0.594,0.2409,0.492
,01/01/2014,0.2525,0.2285,0.21475,,0.99255,0.373,1.271,0.566,0.23235,0.477
,12/01/2013,0.2666,0.2224,0.2124,0.275,0.97146,0.382,1.269,0.568,0.22945,0.495
,11/01/2013,0.27625,0.23025,0.20675,0.30325,0.88063,0.379,1.27,0.556,0.2259,0.478
,10/01/2013,0.283,0.2326,0.2074,0.3224,0.95769,0.386,0.985,0.544,0.232,0.468
,09/01/2013,0.2915,0.22875,0.219,0.32,0.97394,0.376,0.982,0.556,0.23771,0.44
,08/01/2013,0.294,0.233,0.22125,0.335,0.97738,0.388,0.894,0.516,0.24195,0.407
,07/01/2013,0.2938,0.2634,0.2412,0.3452,0.99816,0.428,0.861,0.509,0.26735,0.446
,06/01/2013,0.30225,0.26825,0.2645,0.355,1.05997,0.416,0.895,0.524,0.27445,0.535
,05/01/2013,0.3095,0.28925,0.257,0.3625,1.054,0.418,0.828,0.497,0.2903,0.561
,04/01/2013,0.3046,0.2818,0.2418,0.3588,1.10333,0.418,0.793,0.495,0.29073,0.568
,03/01/2013,0.29925,0.284,0.276,0.35575,1.07918,0.415,0.82,0.511,0.31557,0.649
,02/01/2013,0.30575,0.30125,0.28275,0.364,1.11242,0.42,0.861,0.596,0.30755,0.686
,01/01/2013,0.3256,0.3104,0.2936,0.379,1.09557,0.398,0.829,0.592,0.30939,0.672
,12/01/2012,0.33875,0.31175,0.28775,,1.1234,0.39,0.785,0.607,0.308,0.67
,11/01/2012,0.34,0.29975,0.29425,,1.06779,0.396,0.848,0.589,0.31018,0.652
,10/01/2012,0.3434,0.306,0.2744,,1.11733,0.41,0.898,0.617,0.30539,0.677
,09/01/2012,0.34525,0.3105,0.27775,,1.11188,0.405,0.967,0.67,0.30845,0.704
,08/01/2012,0.347,0.31075,0.294,,0.98487,0.391,1.001,0.684,0.32204,0.66
,07/01/2012,0.333,0.3026,0.2852,,0.85025,0.394,1.07,0.662,0.30582,0.629
,06/01/2012,0.278,0.25475,0.2385,,1.04931,0.382,1.058,0.567,0.26257,0.575
,05/01/2012,0.2664,0.24775,0.246,,1.20712,0.37875,1.155,0.573,0.26257,0.603
,04/01/2012,0.24725,0.2505,0.2565,0.384,1.25723,0.38375,1.348,0.575,0.27967,0.62
,03/01/2012,0.2465,0.2466,0.26975,0.371,1.22107,0.379,1.338,0.543,0.28423,0.589
,02/01/2012,0.25625,0.2515,0.2675,0.3805,1.24455,0.395,1.411,0.512,0.28686,0.577
,01/01/2012,0.247,0.2475,0.258,0.385,0.96192,0.39,1.451,0.498,0.28495,0.54
,12/01/2011,0.226,0.2338,0.2415,0.39725,0.93996,0.384,1.445,0.474,0.28259,0.545
,11/01/2011,0.2348,0.23425,0.271,0.4094,0.9706,0.39625,1.479,0.486,0.2895,0.545
,10/01/2011,0.234,0.23775,0.27625,0.41475,0.99208,0.41875,1.208,0.503,0.28076,0.524
,09/01/2011,0.25225,0.253,0.2945,0.4125,0.99134,0.43667,1.305,0.543,0.30814,0.555
,08/01/2011,0.2558,0.26425,0.3116,0.4378,1.0225,,1.454,0.558,0.32139,0.594
,07/01/2011,0.243,0.261,0.3005,0.44825,1.07581,,1.662,0.559,0.29214,0.615
,06/01/2011,0.27125,0.26575,0.30625,0.48225,1.18606,,1.803,0.558,0.30664,0.663
,05/01/2011,0.27475,0.25075,0.303,0.4814,1.2704,,2.097,0.556,0.29668,0.693
,04/01/2011,0.2852,0.2496,0.314,0.466,1.294,,2.089,0.556,0.30667,0.684
,03/01/2011,0.28275,0.25325,0.2876,0.433,1.2463,,1.925,0.553,0.28291,0.684
,02/01/2011,0.30175,0.2725,0.28825,0.47275,1.311,,2.256,0.575,0.286,0.714
,01/01/2011,0.29825,0.25525,0.2725,0.4365,1.19677,,2.038,0.582,0.26981,0.716
,12/01/2010,0.3158,0.232,0.25975,0.41975,1.06214,,1.715,0.547,0.25657,0.689
,11/01/2010,0.28825,0.2365,0.2464,0.3768,1.03476,,1.512,0.526,0.24036,0.693
,10/01/2010,0.2872,0.2642,0.2485,0.367,1.00334,,1.412,0.493,0.24767,0.634
,09/01/2010,0.29025,0.2585,0.22925,0.36835,0.97409,,1.275,0.47,0.22991,0.534
,08/01/2010,0.2675,0.25275,0.1984,0.3295,0.86485,,1.17,0.457,0.19859,0.491
,07/01/2010,0.203,0.1796,0.17125,0.2964,0.95886,,1.031,0.429,0.16882,0.443
,06/01/2010,0.18025,0.159,0.1626,0.2645,1.03653,,0.993,0.408,0.15773,0.423
,05/01/2010,0.18275,0.159,0.17,0.25725,0.99899,,0.932,0.407,0.16805,0.485
,04/01/2010,0.1832,0.153,0.16125,0.2682,1.05143,,0.94,0.411,0.16441,0.479
,03/01/2010,0.18625,0.14775,0.16,0.27125,1.1247,,0.921,0.408,0.16817,0.463
,02/01/2010,0.1915,0.147,0.16425,0.2825,0.97589,,0.798,0.406,0.16715,0.444
,01/01/2010,0.203,0.14925,0.1775,0.28625,0.94131,,0.784,0.436,0.17526,0.434
,12/01/2009,0.209,0.1536,0.1768,0.30311,0.98936,,0.768,0.45,0.18391,0.448
,11/01/2009,0.21025,0.15625,0.17525,0.30697,1.02749,,0.729,0.44,0.18262,0.406
,10/01/2009,0.2028,0.1492,0.1755,0.28986,1.08028,,0.706,0.427,0.17491,0.373
,09/01/2009,0.204,0.1425,0.1628,0.28074,1.13032,,0.701,0.421,0.15768,0.348
,08/01/2009,0.22225,0.1605,0.1665,0.28706,1.07637,,0.747,0.47,0.159,0.365
,07/01/2009,0.2438,0.1734,0.164,0.31994,1.14658,,0.686,0.463,0.15104,0.37
,06/01/2009,0.265,0.1805,0.1846,0.36653,1.28428,,0.747,0.503,0.17832,0.413
,05/01/2009,0.2402,0.1658,0.1855,0.3847,1.28675,,0.843,0.465,0.18,0.413
,04/01/2009,0.22075,0.1555,0.16575,0.38455,1.29159,,0.747,0.414,0.16767,0.35
,03/01/2009,0.21775,0.14975,0.163,0.30708,1.33094,,0.625,0.379,0.1625,0.35
,02/01/2009,0.21075,0.1425,0.15775,0.31881,1.06715,,0.673,0.39,0.1531,0.369
,01/01/2009,0.2088,0.1318,0.1595,0.34265,1.02771,,0.734,0.413,0.16381,0.344
,12/01/2008,0.202,0.12725,0.1518,0.32828,1.00644,,0.74,0.36,0.15423,0.316
,11/01/2008,,0.1325,0.15625,0.32395,0.88293,,0.719,0.378,0.1614,0.337
,10/01/2008,,0.1722,0.16925,0.32251,0.94203,,0.856,0.394,0.17809,0.389
,09/01/2008,,0.2155,0.2028,0.36653,1.10685,,1.11,0.509,0.23019,0.511
,08/01/2008,,0.2584,0.2165,0.40252,1.15844,,1.193,0.556,0.22971,0.589
,07/01/2008,,0.322,0.2516,0.39866,1.10342,,1.436,0.634,0.24887,0.763
,06/01/2008,,0.327,0.25825,0.4268,1.10181,,1.551,0.622,0.29695,0.767
,05/01/2008,,0.29925,0.207,0.48432,1.24676,,1.502,0.575,0.25359,0.749
,04/01/2008,,0.29925,0.224,0.53475,1.44042,,1.443,0.558,0.25341,0.928
,03/01/2008,,0.3275,0.21575,0.61524,1.64291,,1.471,0.575,0.23733,0.922
,02/01/2008,,0.2884,0.2065,0.74362,1.45107,,1.382,0.572,0.22919,0.826
,01/01/2008,,0.29625,0.20504,0.50976,1.16944,0.345,1.285,0.541,0.23077,0.772
,12/01/2007,,0.29367,0.17067,0.46853,1.05403,,1.153,0.515,0.20515,0.711
,11/01/2007,,0.2824,0.17925,0.38987,1.045,0.3225,1.131,0.489,0.18973,0.712
,10/01/2007,,0.33175,0.1762,0.38512,1.10429,0.305,1.01,0.45,0.20052,0.693
,09/01/2007,0.354,0.3635,0.1695,0.36026,1.10717,0.30167,0.93,0.426,0.2126,0.645
,08/01/2007,0.298,0.2656,0.1565,0.29446,0.93597,0.29833,0.91,0.385,0.18809,0.542
,07/01/2007,0.27175,0.2285,0.14333,0.27292,0.95437,0.285,0.929,0.376,0.16627,0.462
,06/01/2007,0.2504,0.21,0.15575,0.25898,0.97682,,0.979,0.361,0.17362,0.417
,05/01/2007,0.23025,0.2025,0.147,0.23853,1.03757,,0.894,0.334,0.16722,0.395
,04/01/2007,0.2415,0.1985,0.1435,0.23621,1.11986,,0.828,0.32,0.16052,0.369
,03/01/2007,0.2366,0.187,0.16025,0.23375,1.05515,0.26,0.769,0.322,0.1833,0.347
,02/01/2007,0.23575,0.19,0.16525,0.23324,1.06884,0.27,0.763,0.325,0.1879,0.339
,01/01/2007,0.22575,0.19225,0.1608,0.23077,0.98504,0.27,0.731,0.306,0.18214,0.338
,12/01/2006,0.2328,0.2002,0.16175,0.23809,0.89054,0.27,0.732,0.297,0.17981,0.34
,11/01/2006,0.23475,0.19075,0.1715,0.2277,0.85896,0.257,0.656,0.3,0.177,0.325
,10/01/2006,0.23325,0.207,0.1352,0.22764,0.78628,0.252,0.626,0.273,0.16182,0.295
,09/01/2006,0.2218,0.1692,0.11375,0.2078,0.79618,0.252,0.609,0.258,0.13448,0.301
,08/01/2006,0.21575,0.14,0.1112,0.20783,0.75785,0.243,0.606,0.262,0.12748,0.312
,07/01/2006,0.224,0.13425,0.11375,0.23058,0.75,0.243,0.583,0.272,0.1318,0.312
,06/01/2006,0.2226,0.1288,0.1075,0.21626,0.95437,0.243,0.575,0.267,0.12527,0.306
,05/01/2006,0.219,0.12925,0.1116,0.21455,1.05096,0.243,0.583,0.266,0.12609,0.306
,04/01/2006,0.20475,0.12433,0.10575,0.20303,0.96852,0.243,0.578,0.258,0.11747,0.299
,03/01/2006,0.1984,0.119,0.0995,0.20369,0.99812,0.2382,0.575,0.257,0.11265,0.284
,02/01/2006,0.20025,0.1185,0.1045,0.21371,1.0034,0.23775,0.591,0.257,0.11479,0.266
